batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france,ve_8859261736,Relais De La Poste,Relais de la Poste,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/magescq/restaurant/relais-de-la-poste11709,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_890ec43950,ROZO,Rozó,michelin,https://guide.michelin.com/en/hauts-de-france/marcq-en-barul/restaurant/rozo-1202595,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8976cb64df,La _ Maison dans le Parc,La Maison dans le Parc,michelin,https://guide.michelin.com/en/grand-est/nancy/restaurant/la-maison-dans-le-parc,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8b0411fd68,Restaurant Le Gindreau,Le Gindreau,michelin,https://guide.michelin.com/en/occitanie/saint-mdard/restaurant/le-gindreau,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8c25148528,L'Alchémille,Alchémille,michelin,https://guide.michelin.com/en/grand-est/kaysersberg/restaurant/l-alchemille,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8c4a5d6040,Restaurant Le Café des Arts,Le Café des Arts,michelin,https://guide.michelin.com/en/pays-de-la-loire/beaulieu-sous-la-roche/restaurant/cafe-des-arts,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8d0beae410,Restaurant l'ogustin,L'Ogustin,michelin,https://guide.michelin.com/en/occitanie/la-vacquerie-et-saint-martin-de-castries_1502152/restaurant/l-ogustin,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_8e0adfebb4,Restaurant Omija,Omija,michelin,https://guide.michelin.com/en/pays-de-la-loire/nantes/restaurant/omija,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_900c668573,Restaurant La Ferme de Victorine,La Ferme de Victorine,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/notre-dame-de-bellecombe/restaurant/la-ferme-de-victorine,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9282ea441c,Hostellerie La Montagne,Hostellerie la Montagne,michelin,https://guide.michelin.com/en/grand-est/colombey-les-deux-glises/restaurant/hostellerie-la-montagne,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_95f52c5e5a,Restaurant La Merise,La Merise,michelin,https://guide.michelin.com/en/grand-est/laubach/restaurant/la-merise,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_974d97d7f9,Restaurant Frederic Simonin,Frédéric Simonin,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/frederic-simonin,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9a31afe9f5,Restaurant Albert 1er,Albert 1er,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/chamonix-mont-blanc/restaurant/albert-1er,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9aa71bbec8,Restaurant Ineffable,Ineffable,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/barbentane_1504843/restaurant/ineffable,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9b272faa8a,Restaurant Trente-Trois,Trente-Trois,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/trente-trois,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9c40a9dbe3,Restaurant La Table du Cinq,La Table du Cinq,michelin,https://guide.michelin.com/en/occitanie/bagnres-de-bigorre/restaurant/la-table-du-cinq,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_9c646fdf2a,Restaurant Les Terraillers,Les Terraillers,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/biot/restaurant/les-terraillers,Michelin spelling; Michelin is the only publisher that can vote
